tour_id|tour_user_id|tour_name|tour_description|tour_starter_point|URL|tour_price|tour_child_price|tour_viality_from|tour_viality_to|tour_created_at|tour_update_at|tour_days|tour_nights|tour_state|tour_hounsing_type|tour_country_id|tour_housing_name|tour_stock|tour_commision|tour_in_home|tour_is_canatour|tour_blocked|tour_adult_foreigner_price|tour_child_foreigner_price|tour_purchase_time|tour_min_passenger|tour_published_on|tour_name_en|tour_translation_mode|tour_list_price|tour_duration_in_hours|tour_language|tour_start_time|tour_cancellation_policy|tour_reservations_count|tour_city|name of tour operator|tour_distribution|pago nulo|pago aprobado|pago expirado|pago extornado|pago no procesado|pago pendiente|por pagar
14 |14 |Sewell, Visita a Ciudad Minera Patrimonio Unesco |El cobre, comúnmente llamado sueldo de Chile tiene en la ciudad campamento de Sewell, uno de sus iconos más profundos del siglo XX. Una ciudad forjada en las escalinatas que ahora la miran desierta, la misma la que  Pablo   Neruda  dedicó algunos versos en su icónico libro  “Canto general”  nos da la bienvenida a recorrerla haciéndonos cómplices del poeta y de otras épocas.  En Fototrekking preparamos este intenso tour cultural que te ofrecerá un día lleno de oportunidades fotográficas reales. Junto a la poesía de Pablo Neruda nos adentraremos en las miles de historias que sobreviven en las escalinatas empinadas en el Cerro Negro para plasmar con nuestras cámaras y nuestros corazones los recovecos de la ciudad de las escaleras.   |Terminal de buses TUR-BUS  |sewell-visita-a-ciudad-minera-patrimonio-unesco |59000 |59000 |2017-01-01 |2017-04-09 |2017-01-16 09:57:12 |2018-11-21 09:49:50 |1 |0 |unpublished |NULL |NULL |NULL |0 |25 |0 |0 |1 |59000 |59000 |NULL |6 |NULL |Sewell, Visit to Unesco Heritage Mining Town |auto |59000 |NULL |Español |08:30 |100p-7days |0 |Del Libertador Gral. Bernardo O'Higgins |Fototrekking |Turismoi - E-Comerce |0 |0 |0 |0 |0 |0 |0
15 |18 |Tour Viña Santa Cruz - Incluye Paseo en Teleférico |   Tour regular en Viña Santa Cruz, incluye paseo en teleférico, visita a las Aldeas Indigenas, tour guiado en la bodega de vinos y degustación.   No incluye traslado.   Viña Santa Cruz se encuentra a 25 km de la Plaza de Armas, valor adicional por una van $35.000, con espera de pasajeros hasta que terminan su tour.   El tour dura aproximadamente 02 horas.         |  Desde: Plaza de Armas de Santa Cruz   Coordinar con el operador.   |tour-vina-santa-cruz-incluye-paseo-en-teleferico |1900 |1900 |2019-12-01 |2020-12-30 |2018-12-10 12:20:38 |2020-01-09 12:59:25 |1 |0 |unpublished |NULL |NULL |NULL |0 |25 |0 |0 |0 |1900 |1900 |0 |1 |2018-12-10 |Viña Santa Cruz Tour - Includes Cable Car Ride |auto |1900 |NULL |Español |09:00 |100p-7days |0 |Valparaíso |Turismoi |Turismoi - E-Comerce |0 |0 |0 |0 |0 |0 |1
16 |21 |Saltos de Petrohue |  Los Saltos del Río Petrohué son caidas de agua ubicadas a una corta distancia río abajo del lago Todos Los Santos.Se encuentran dentro del Parque nacional Vicente Pérez Rosales cercano a la ruta hacia Petrohué, una localidad al borde de aquel lago.   Entre las aves se destacan el pato correntino, el carpintero negro, el picaflor chico, la tagua común, el águila y el martín pescador.  La mayor parte de los bosques del parque corresponden al tipo siempreverde, donde se desarrolla una amplia gama de ambientes. En lugares planos y de mal drenajes como laguna Cayutúe, predomina el bosque húmedo de galería compuesto principalmente por canelo, coigüe, patagua y pitra.  Recorreremos lugares paradisíacos en donde veremos lagos, volcanes,  saltos de agua y bosques nativos.  Tendremos la posibilidad de disfrutar del canto de un ave endémica como el Chucao.   |   Puerto Montt o Puerto Varas:  Recogida en lugar de alojamiento o punto a convenir.   Dias de operación: de Lunes a Domingo    |saltos-de-petrohue |40000 |40000 |2019-06-01 |2022-12-31 |2019-03-31 20:54:32 |2022-02-21 12:53:18 |1 |0 |published |NULL |NULL |NULL |0 |25 |0 |0 |1 |40000 |40000 |24 |2 |2019-10-23 |Petrohue Falls |auto |40000 |NULL |Español |11:00 |100p-7days |0 |De Los Lagos |Angelmo Tours |Turismoi - E-Comerce |10 |1 |0 |0 |0 |0 |0
17 |21 |Avistamiento de Aves Quenuir |El avistamiento de aves en Quenuir ubicado en la desembocadura del río Maullín y la Laguna Las Lajas son lugares privilegiados ya que concentran el 53% de las aves migratorias de Chile. |   Punto inicio del tour:  Puerto Varas o Puerto Montt   Punto de retorno del tour:  Puerto Varas o Puerto Montt   Hora de inicio del tour:  07.30 hrs   Duración del tour:  11 hrs.   Días de operación:  De Lunes a Domingo   Idioma del guiado del tour :  Español   |avistamiento-de-aves-quenuir |99500 |99500 |2019-06-01 |2022-12-31 |2019-04-01 13:57:20 |2022-02-21 12:54:08 |1 |0 |published |NULL |NULL |NULL |0 |25 |0 |0 |1 |99500 |99500 |24 |2 |2019-10-23 |Quenuir Bird Watching |auto |99500 |NULL |Español |07:30 |100p-7days |0 |De Los Lagos |Angelmo Tours |Turismoi - E-Comerce |10 |1 |0 |1 |0 |0 |0
18 |21 |Tour Chiloé Mitologico y Tradicional |  Navegaremos por el Canal de Chacao por alrededor de 30 minutos.  Esta zona es la puerta de entrada de la Isla Grande de Chiloé y a sus costumbres y tradiciones.   Recorreremos el fuerte San Antonio en la ciudad de Ancud emplazamiento importantisimo en la defensa de la ciudad años atras.  La Iglesia San Francisco de Castro es una de las iglesias más importantes de todo el sur de Chile debido a su antigüedad como por el trabajo de sus maderas, cuya construcción data de comienzos de siglo y caracteriza por sus finas maderas de alerce.   Está ubicada frente a la Plaza de Armas de la ciudad, tuvo una primera construcción en el año 1567 y su última reconstrucción fue en el año 1910. Fue declarada Patrimonio de la Humanidad el año 2000.  Visitaremos la ciudad de Dalcahue cuna de la actividad canoera y lugar de la Feria Artesanal mas importante de la Isla.   |   Puerto Montt o Puerto Varas:  Recogida en lugar de alojamiento o punto a convenir.   Dias de operación: de Lunes a Domingo    |tour-chiloe-mitologico-y-tradicional |55000 |30000 |2019-06-01 |2022-12-31 |2019-04-01 17:08:37 |2022-02-21 12:55:33 |1 |0 |published |NULL |NULL |NULL |0 |25 |0 |0 |1 |55000 |30000 |24 |2 |2019-10-23 |Chiloé Mythological and Traditional Tour |auto |55000 |NULL |Español |08:00 |100p-7days |0 |De Los Lagos |Angelmo Tours |Turismoi - E-Comerce |6 |3 |0 |0 |0 |0 |5
19 |23 |Fullday Torres del Paine Invierno |  Ven a disfrutar del invierno en Patagonia.  Conoce la  Octava Maravilla del Mundo  en un recorrido especial por los más importantes miradores y spots del Parque Nacional más visitado en Chile y Sudamérica.   |  Pick Up / Drop Off en Hotel, residencia o lugar de hospedaje, ya sea en Punta Arenas o en Puerto Natales (Region de Magallanes y Antartica Chilena).   <i>Importante: </i> <i>Siempre que los alojamientos estén dentro del radio urbano o en camino hacia nuestro destino. En caso contrario (alojamientos alejados), se puede coordinar un Punto de Encuentro o Pago adicional para el recojo.</i>   |fullday-torres-del-paine-invierno |50000 |40000 |2019-05-29 |2021-12-31 |2019-05-29 22:06:12 |2019-10-24 15:26:23 |1 |0 |unpublished |NULL |NULL |NULL |0 |25 |0 |0 |1 |50000 |40000 |48 |2 |2019-10-24 |Fullday Torres del Paine Winter |auto |50000 |NULL |Español,Inglés |05:00 |100p-7days |0 |Magallanes Y De La Antártica Chilena |Turismo PatagoniaFull |Turismoi - E-Comerce |8 |0 |0 |0 |0 |1 |1
20 |24 |City Tour Panoramico Santiago | Un recorrido por los más importantes sectores de Santiago pasando por el casco histórico.    Con paradas en el Palacio de La Moneda, Plaza de Armas y, de forma panorámica, por otros puntos de la ciudad.  Para luego recurrir al más importante barrio bohemio de la capital: Bellavista y siguiendo con los sectores residenciales y parques del municipio de Providencia.  Tenemos también una parada en un área verde de la ciudad y el paseo finaliza en el Mercado Central.   |  Área de  Hoteles de las comunas de Santiago Centro, Providencia, Las Condes, Vitacura.   Se excluyen hoteles situados fuera de las áreas informadas.   |city-tour-panoramico-santiago |15000 |7000 |2019-06-27 |2021-12-31 |2019-06-26 13:30:41 |2019-10-24 16:32:37 |1 |0 |unpublished |NULL |NULL |NULL |0 |25 |0 |0 |1 |15000 |7000 |48 |1 |2019-10-24 |Panoramic City Tour Santiago |auto |15000 |4 |Español,Inglés,Portugués |07:40 |100p-7days |0 |Metropolitana De Santiago |TIPGROUP CHILE |Turismoi - E-Comerce |0 |0 |0 |0 |0 |0 |0
21 |24 |Tour Panoramico Viña del Mar & Valparaiso | Un paseo por la quinta región de Chile y sus dos ciudades más emblemáticas: Una por su diversión y la otra por su tradición.     Mientras Valparaíso, ciudad puerto, se caracteriza por sus elevados cerros con vistas panorámicas al Océano Pacífico y construcciones ancestrales que la llevaron a ser declarada  Patrimonio de la Humanidad ...   Viña del Mar llama la atención por sus jardines, su modernismo y su vida nocturna.   Este paseo puede incluir un tour de viajes si las condiciones climáticas, transito y tiempos lo permiten.   |  Área de Hoteles de las comunas de Santiago Centro, Providencia, Las Condes, Vitacura.   Se excluyen hoteles situados fuera de las áreas informadas.     |tour-panoramico-vina-del-mar-valparaiso |35000 |24000 |2019-06-27 |2021-12-31 |2019-06-27 09:52:53 |2019-10-24 16:32:55 |1 |0 |unpublished |NULL |NULL |NULL |0 |25 |0 |0 |1 |35000 |24000 |48 |1 |2019-10-24 |Viña del Mar & Valparaiso Panoramic Tour |auto |35000 |NULL |Español,Inglés,Portugués |07:40 |100p-7days |0 |Valparaíso |TIPGROUP CHILE |Turismoi - E-Comerce |0 |0 |0 |0 |0 |0 |1
22 |24 |Tour Viñedo Concha & Toro | Un recorrido por uno de los más prestigiosos viñedos de la zona central de Chile y reconocido internacionalmente.     Vamos a conocer de cerca sus secretos ocultos, sus historias y leyendas.  Además de ofrecer una degustación de sus mejores vinos en el lugar donde se producen.  Con un entorno típico de los viñedos y la antigua residencia de sus propietarios.   |  Área de  Hoteles de las comunas de Santiago Centro, Providencia, Las Condes, Vitacura.   Se excluyen hoteles situados fuera de las áreas informadas.   |tour-vinedo-concha-toro |32000 |18000 |2019-06-27 |2021-12-31 |2019-06-27 10:22:31 |2019-10-24 16:33:25 |1 |0 |unpublished |NULL |NULL |NULL |0 |25 |0 |0 |1 |32000 |18000 |48 |1 |2019-10-24 |Concha & Toro Vineyard Tour |auto |32000 |4 |Español,Inglés,Portugués |12:40 |100p-7days |0 |Metropolitana De Santiago |TIPGROUP CHILE |Turismoi - E-Comerce |1 |0 |0 |0 |0 |2 |1
23 |24 |Tour Viñedo Undurraga | Entre 1873 y 1883 el Sr. Francisco Undurraga Vicuña comenzó a planificar el viñedo que visitaremos, trayendo las uvas de Francia y Alemania, teniendo su fundación en 1885.     En 1903,  Undurraga  fue el primer viñedo Chileno que exporta a los EE.UU. colocando una caja de Pinot Noir en cada uno de los 45 estados existentes en aquel momento.   El tour finaliza con la degustación de algunos de sus mejores vinos.   |  Área de  Hoteles de las comunas de Santiago Centro, Providencia, Las Condes, Vitacura.   Se excluyen hoteles situados fuera de las áreas informadas.   |tour-vinedo-undurraga |32000 |18000 |2019-06-27 |2021-12-31 |2019-06-27 10:42:39 |2019-10-24 16:33:40 |1 |0 |unpublished |NULL |NULL |NULL |0 |25 |0 |0 |1 |32000 |18000 |48 |1 |2019-10-24 |Undurraga Vineyard Tour |auto |32000 |4 |Español,Inglés,Portugués |12:40 |100p-7days |0 |Metropolitana De Santiago |TIPGROUP CHILE |Turismoi - E-Comerce |0 |0 |0 |0 |0 |0 |0
24 |24 |Panoramico Cordillera de los Andes | Visitaremos la Cordillera de los Andes, el mayor complejo de montañas de América!!.    Subiremos sus más de 50 curvas de 180 grados, bordeando el recorrido del Río Mapocho.  Con paradas en los famosos centros de esquí, entre ellos Valle Nevado con sus imponentes hoteles de alta montaña.  En este paseo panorámico haremos algunas paradas para las más hermosas fotos y tiempo libre para almuerzo en el pueblo de alta montaña Farellones.   |  Área de  Hoteles de las comunas de Santiago Centro, Providencia, Las Condes, Vitacura.   Se excluyen hoteles situados fuera de las áreas informadas.   |panoramico-cordillera-de-los-andes |28000 |14000 |2019-06-27 |2021-12-31 |2019-06-27 11:35:38 |2019-10-24 16:33:54 |1 |0 |unpublished |NULL |NULL |NULL |0 |25 |0 |0 |1 |28000 |14000 |48 |1 |2019-10-24 |Panoramic Cordillera de los Andes |auto |28000 |NULL |Español,Inglés,Portugués |06:50 |100p-7days |0 |Metropolitana De Santiago |TIPGROUP CHILE |Turismoi - E-Comerce |0 |0 |0 |0 |0 |0 |1
25 |25 |Experiencia Viña Concha y Toro |  Pase una tarde encantadora explorando los terrenos de la tradicional bodega Concha y Toro, productora del mundialmente famoso Cabernet Sauvignon chileno.   |  Hoteles ubicados en Santiago centro, Providencia, Las Condes, Vitacura y Ciudad de Santiago.  Dias de operación: De Lunes a Domingo  Temporada: Todo el año   |experiencia-vina-concha-y-toro |49600 |35200 |2019-07-01 |2022-12-31 |2019-07-09 17:48:03 |2022-01-31 16:18:18 |1 |0 |published |NULL |NULL |NULL |0 |25 |0 |0 |1 |49600 |35200 |24 |2 |2019-08-26 |Concha y Toro Vineyard Experience |auto |49600 |4 |Español |08:00 |100p-7days |2 |Metropolitana De Santiago |CHIRAK / GRAY LINE CHILE |Turismoi - E-Comerce |7 |3 |1 |1 |0 |1 |2
26 |25 |Costanera Viña del Mar y Valparaiso Historico |  Disfrute de las mejores cosas de la vida mientras viaja a lo largo de la costa central de Chile para visitar el Puerto Patrimonial de Valparaíso, declarado en 2003 por la UNESCO como Patrimonio de la Humanidad.   Es la ciudad con mayor actividad cultural de Chile, llena de artistas, poetas, restaurantes y galerías de arte.   Además visitará Viña del Mar, también conocida como The Garden City, la cual solía ser una tierra llena de viñedos, pero ahora es una ciudad moderna llena de vida, historia y hermosas playas.   |  Hoteles ubicados en Santiago centro, Providencia, Las Condes, Vitacura y Ciudad Santiago.  Dias de operación: De Lunes a Domingo  Temporada: Todo el año   |costanera-vina-del-mar-y-valparaiso-historico |105600 |52800 |2019-07-01 |2022-12-31 |2019-07-09 17:48:41 |2022-01-31 16:19:57 |1 |0 |published |NULL |NULL |NULL |0 |25 |0 |0 |1 |105600 |52800 |24 |2 |2019-08-26 |Costanera Viña del Mar and Valparaiso Historico |auto |105600 |NULL |Español |08:00 |100p-7days |0 |Metropolitana De Santiago |CHIRAK / GRAY LINE CHILE |Turismoi - E-Comerce |1 |0 |0 |0 |0 |0 |0
27 |25 |Recorrido Clásico por la Ciudad de Santiago |  Descubre Santiago, la capital de Chile y hogar de siete millones de personas.   El rápido crecimiento económico la ha convertido en una de las ciudades más desarrolladas de América del Sur, al establecer un entorno urbano moderno que une la arquitectura clásica y moderna.    |  Hoteles ubicados en Santiago centro, Providencia, Las Condes, Vitacura y Ciudad de Santiago  Dias de operación: De Lunes a Domingo  Temporada: Todo el año   |recorrido-clasico-por-la-ciudad-de-santiago |47200 |24000 |2019-07-01 |2022-12-31 |2019-07-09 17:49:48 |2022-01-31 16:21:29 |1 |0 |published |NULL |NULL |NULL |0 |25 |0 |0 |1 |47200 |24000 |24 |2 |2019-08-26 |Classic Tour through the City of Santiago |auto |47200 |4 |Español |08:00 |100p-7days |0 |Metropolitana De Santiago |CHIRAK / GRAY LINE CHILE |Turismoi - E-Comerce |-1 |0 |0 |1 |0 |0 |5
