tour_id	tour_user_id	tour_name	tour_description	tour_starter_point	URL	tour_price	tour_child_price	tour_viality_from	tour_viality_to	tour_created_at	tour_update_at	tour_days	tour_nights	tour_state	tour_hounsing_type	tour_country_id	tour_housing_name	tour_stock	tour_commision	tour_in_home	tour_is_canatour	tour_blocked	tour_adult_foreigner_price	tour_child_foreigner_price	tour_purchase_time	tour_min_passenger	tour_published_on	tour_name_en	tour_translation_mode	tour_list_price	tour_duration_in_hours	tour_language	tour_start_time	tour_cancellation_policy	tour_reservations_count	turismoi_network	saas_network	tour_operador_name	payment_type
11|	8|	Torres del Paine|	Programa con ticket aéreo dedicado exclusivamente a dos dias dentro del  Parque Nacional Torres del Paine. Opcionalmente podrán dedicar el día a  trekking, cabalgatas y más. Además, en el camino se podrán visitar las  pinguineras.<br>|	Aeropuerto de Santiago.<br>|	torres-del-paine|	715000|	715000|	2016-10-01|	2019-12-31|	2016-03-08 05:16:58|	2018-11-21 09:49:40|	4|	3|	unpublished|	hotel-3-estrellas|	NULL|	Hosteria Pehoe y Hotel Aqua Terra|	0|	25|	1|	0|	0|	715000|	715000|	NULL|	2|	NULL|	Torres del Paine|	auto|	715000|	NULL|	Español|	08:00|	100p-7days|	0|	1|	1|	Go Patagonia|	NULL|
12|	8|	Full Day Tierra del Fuego (Parque Pinguino Rey)|	Conoce la isla Tierra del Fuego, navega por el mitico Estrecho de  Magallanes, disfruta de la soledad de la pampa magallánica y,  finalmente, asómbrate con la belleza del imponente Pinguino Rey.<br>|	Recogida en los alojamientos de Punta Arenas.<br>|	full-day-tierra-del-fuego-parque-pinguino-rey|	48000|	48000|	2016-03-01|	2019-12-31|	2016-03-08 05:57:09|	2020-01-06 10:08:23|	1|	0|	unpublished|	NULL|	NULL|	NULL|	0|	25|	1|	0|	1|	48000|	48000|	NULL|	1|	2020-01-06|	Full Day Tierra del Fuego (King Pinguino Park)|	auto|	48000|	NULL|	Español|	08:00|	100p-7days|	0|	1|	1|	Go Patagonia|	NULL|
13|	9|	Viña Santa Cruz y Paseo en Teleférico|	<ul><li>En el año 2003 el grupo de Empresas Cardoen da vida a Viña Santa Cruz, un proyecto pionero en turismo en el valle de Lolol, pueblo inmerso en el prestigioso valle de Colchagua, sexta región de Chile.&nbsp;</li><li>Hoy con más de 150 hectáreas en plena producción dan vida a nuestras líneas de vinos Chamán Reserva, Chamán Gran Reserva, Make Make, Tupu y Santa Cruz, los cuales junto a nuestras aldeas pre colombinas, museos, teleférico, restaurant y más... dan vida a un destino saludable y familiar abierto todos los días del año al turismo Enológico.<br></li></ul>|	<ul><li>No incluye traslado.&nbsp;</li><li>Viña Santa Cruz.</li></ul>|	vina-santa-cruz-y-paseo-en-teleferico|	20000|	9000|	2016-03-21|	2020-12-30|	2016-03-20 18:27:00|	2019-12-23 16:22:34|	1|	0|	unpublished|	NULL|	NULL|	NULL|	0|	25|	0|	0|	1|	19000|	9000|	24|	1|	2019-10-23|	Santa Cruz Vineyard and Cable Car Ride|	auto|	20000|	2|	Español,Inglés|	10:00|	100p-7days|	0|	1|	1|	Turismo Cumbre Andina|	NULL|
14|	14|	Sewell, Visita a Ciudad Minera Patrimonio Unesco|	El cobre, comúnmente llamado sueldo de Chile tiene en la ciudad campamento de Sewell, uno de sus&nbsp;iconos más profundos del siglo XX. Una ciudad forjada en las escalinatas que ahora la miran desierta, la misma la que&nbsp;<strong>Pablo</strong>&nbsp;<strong>Neruda</strong>&nbsp;dedicó algunos versos en su&nbsp;icónico libro&nbsp;<strong>“Canto general”</strong>&nbsp;nos da la bienvenida a recorrerla haciéndonos cómplices del poeta y de otras épocas.<br><p>En&nbsp;Fototrekking preparamos este&nbsp;intenso tour cultural que te ofrecerá un día lleno de oportunidades fotográficas reales. Junto a la poesía de Pablo Neruda nos adentraremos en las miles de historias que sobreviven en las escalinatas empinadas en el Cerro Negro para plasmar con nuestras cámaras y nuestros corazones los recovecos de la ciudad de las escaleras.</p><br>|	Terminal de buses TUR-BUS<br>|	sewell-visita-a-ciudad-minera-patrimonio-unesco|	59000|	59000|	2017-01-01|	2017-04-09|	2017-01-16 09:57:12|	2018-11-21 09:49:50|	1|	0|	unpublished|	NULL|	NULL|	NULL|	0|	25|	0|	0|	1|	59000|	59000|	NULL|	6|	NULL|	Sewell, Visit to Unesco Heritage Mining Town|	auto|	59000|	NULL|	Español|	08:30|	100p-7days|	0|	1|	1|	Fototrekking|	NULL|
15|	18|	Tour Viña Santa Cruz - Incluye Paseo en Teleférico|	<div><ul><li>Tour regular en Viña Santa Cruz, incluye paseo en teleférico, visita a las Aldeas Indigenas, tour guiado en la bodega de vinos y degustación.&nbsp;</li><li>No incluye traslado.&nbsp;</li><li>Viña Santa Cruz se encuentra a 25 km de la Plaza de Armas, valor adicional por una van $35.000, con espera de pasajeros hasta que terminan su tour.&nbsp;</li><li>El tour dura aproximadamente 02 horas.&nbsp;</li></ul></div><div><div></div></div>|	<ul><li>Desde: Plaza de Armas de Santa Cruz<br></li><li>Coordinar con el operador.</li></ul>|	tour-vina-santa-cruz-incluye-paseo-en-teleferico|	1900|	1900|	2019-12-01|	2020-12-30|	2018-12-10 12:20:38|	2020-01-09 12:59:25|	1|	0|	unpublished|	NULL|	NULL|	NULL|	0|	25|	0|	0|	0|	1900|	1900|	0|	1|	2018-12-10|	Viña Santa Cruz Tour - Includes Cable Car Ride|	auto|	1900|	NULL|	Español|	09:00|	100p-7days|	0|	1|	1|	Turismoi|	NULL|
15|	18|	Tour Viña Santa Cruz - Incluye Paseo en Teleférico|	<div><ul><li>Tour regular en Viña Santa Cruz, incluye paseo en teleférico, visita a las Aldeas Indigenas, tour guiado en la bodega de vinos y degustación.&nbsp;</li><li>No incluye traslado.&nbsp;</li><li>Viña Santa Cruz se encuentra a 25 km de la Plaza de Armas, valor adicional por una van $35.000, con espera de pasajeros hasta que terminan su tour.&nbsp;</li><li>El tour dura aproximadamente 02 horas.&nbsp;</li></ul></div><div><div></div></div>|	<ul><li>Desde: Plaza de Armas de Santa Cruz<br></li><li>Coordinar con el operador.</li></ul>|	tour-vina-santa-cruz-incluye-paseo-en-teleferico|	1900|	1900|	2019-12-01|	2020-12-30|	2018-12-10 12:20:38|	2020-01-09 12:59:25|	1|	0|	unpublished|	NULL|	NULL|	NULL|	0|	25|	0|	0|	0|	1900|	1900|	0|	1|	2018-12-10|	Viña Santa Cruz Tour - Includes Cable Car Ride|	auto|	1900|	NULL|	Español|	09:00|	100p-7days|	0|	1|	1|	Turismoi|	por pagar|
16|	21|	Saltos de Petrohue|	<ul><li>Los Saltos del Río Petrohué son caidas de agua ubicadas a una corta distancia río abajo del lago Todos Los Santos.Se encuentran dentro del Parque nacional Vicente Pérez Rosales cercano a la ruta hacia Petrohué, una localidad al borde de aquel lago.&nbsp;</li><li>Entre las aves se destacan el pato correntino, el carpintero negro, el picaflor chico, la tagua común, el águila y el martín pescador.</li><li>La mayor parte de los bosques del parque corresponden al tipo siempreverde, donde se desarrolla una amplia gama de ambientes. En lugares planos y de mal drenajes como laguna Cayutúe, predomina el bosque húmedo de galería compuesto principalmente por canelo, coigüe, patagua y pitra.</li><li>Recorreremos lugares paradisíacos en donde veremos lagos, volcanes,  saltos de agua y bosques nativos.</li><li>Tendremos la posibilidad de disfrutar del canto de un ave endémica como el Chucao.</li></ul>|	<ul><li><b>Puerto Montt o Puerto Varas:&nbsp;</b>Recogida en lugar de alojamiento o punto a convenir.</li><li><b>Dias de operación: de Lunes a Domingo</b></li></ul>|	saltos-de-petrohue|	40000|	40000|	2019-06-01|	2022-12-31|	2019-03-31 20:54:32|	2022-02-21 12:53:18|	1|	0|	published|	NULL|	NULL|	NULL|	0|	25|	0|	0|	1|	40000|	40000|	24|	2|	2019-10-23|	Petrohue Falls|	auto|	40000|	NULL|	Español|	11:00|	100p-7days|	0|	1|	1|	Angelmo Tours|	NULL|
16|	21|	Saltos de Petrohue|	<ul><li>Los Saltos del Río Petrohué son caidas de agua ubicadas a una corta distancia río abajo del lago Todos Los Santos.Se encuentran dentro del Parque nacional Vicente Pérez Rosales cercano a la ruta hacia Petrohué, una localidad al borde de aquel lago.&nbsp;</li><li>Entre las aves se destacan el pato correntino, el carpintero negro, el picaflor chico, la tagua común, el águila y el martín pescador.</li><li>La mayor parte de los bosques del parque corresponden al tipo siempreverde, donde se desarrolla una amplia gama de ambientes. En lugares planos y de mal drenajes como laguna Cayutúe, predomina el bosque húmedo de galería compuesto principalmente por canelo, coigüe, patagua y pitra.</li><li>Recorreremos lugares paradisíacos en donde veremos lagos, volcanes,  saltos de agua y bosques nativos.</li><li>Tendremos la posibilidad de disfrutar del canto de un ave endémica como el Chucao.</li></ul>|	<ul><li><b>Puerto Montt o Puerto Varas:&nbsp;</b>Recogida en lugar de alojamiento o punto a convenir.</li><li><b>Dias de operación: de Lunes a Domingo</b></li></ul>|	saltos-de-petrohue|	40000|	40000|	2019-06-01|	2022-12-31|	2019-03-31 20:54:32|	2022-02-21 12:53:18|	1|	0|	published|	NULL|	NULL|	NULL|	0|	25|	0|	0|	1|	40000|	40000|	24|	2|	2019-10-23|	Petrohue Falls|	auto|	40000|	NULL|	Español|	11:00|	100p-7days|	0|	1|	1|	Angelmo Tours|	NULL|
16|	21|	Saltos de Petrohue|	<ul><li>Los Saltos del Río Petrohué son caidas de agua ubicadas a una corta distancia río abajo del lago Todos Los Santos.Se encuentran dentro del Parque nacional Vicente Pérez Rosales cercano a la ruta hacia Petrohué, una localidad al borde de aquel lago.&nbsp;</li><li>Entre las aves se destacan el pato correntino, el carpintero negro, el picaflor chico, la tagua común, el águila y el martín pescador.</li><li>La mayor parte de los bosques del parque corresponden al tipo siempreverde, donde se desarrolla una amplia gama de ambientes. En lugares planos y de mal drenajes como laguna Cayutúe, predomina el bosque húmedo de galería compuesto principalmente por canelo, coigüe, patagua y pitra.</li><li>Recorreremos lugares paradisíacos en donde veremos lagos, volcanes,  saltos de agua y bosques nativos.</li><li>Tendremos la posibilidad de disfrutar del canto de un ave endémica como el Chucao.</li></ul>|	<ul><li><b>Puerto Montt o Puerto Varas:&nbsp;</b>Recogida en lugar de alojamiento o punto a convenir.</li><li><b>Dias de operación: de Lunes a Domingo</b></li></ul>|	saltos-de-petrohue|	40000|	40000|	2019-06-01|	2022-12-31|	2019-03-31 20:54:32|	2022-02-21 12:53:18|	1|	0|	published|	NULL|	NULL|	NULL|	0|	25|	0|	0|	1|	40000|	40000|	24|	2|	2019-10-23|	Petrohue Falls|	auto|	40000|	NULL|	Español|	11:00|	100p-7days|	0|	1|	1|	Angelmo Tours|	NULL|
16|	21|	Saltos de Petrohue|	<ul><li>Los Saltos del Río Petrohué son caidas de agua ubicadas a una corta distancia río abajo del lago Todos Los Santos.Se encuentran dentro del Parque nacional Vicente Pérez Rosales cercano a la ruta hacia Petrohué, una localidad al borde de aquel lago.&nbsp;</li><li>Entre las aves se destacan el pato correntino, el carpintero negro, el picaflor chico, la tagua común, el águila y el martín pescador.</li><li>La mayor parte de los bosques del parque corresponden al tipo siempreverde, donde se desarrolla una amplia gama de ambientes. En lugares planos y de mal drenajes como laguna Cayutúe, predomina el bosque húmedo de galería compuesto principalmente por canelo, coigüe, patagua y pitra.</li><li>Recorreremos lugares paradisíacos en donde veremos lagos, volcanes,  saltos de agua y bosques nativos.</li><li>Tendremos la posibilidad de disfrutar del canto de un ave endémica como el Chucao.</li></ul>|	<ul><li><b>Puerto Montt o Puerto Varas:&nbsp;</b>Recogida en lugar de alojamiento o punto a convenir.</li><li><b>Dias de operación: de Lunes a Domingo</b></li></ul>|	saltos-de-petrohue|	40000|	40000|	2019-06-01|	2022-12-31|	2019-03-31 20:54:32|	2022-02-21 12:53:18|	1|	0|	published|	NULL|	NULL|	NULL|	0|	25|	0|	0|	1|	40000|	40000|	24|	2|	2019-10-23|	Petrohue Falls|	auto|	40000|	NULL|	Español|	11:00|	100p-7days|	0|	1|	1|	Angelmo Tours|	NULL|
16|	21|	Saltos de Petrohue|	<ul><li>Los Saltos del Río Petrohué son caidas de agua ubicadas a una corta distancia río abajo del lago Todos Los Santos.Se encuentran dentro del Parque nacional Vicente Pérez Rosales cercano a la ruta hacia Petrohué, una localidad al borde de aquel lago.&nbsp;</li><li>Entre las aves se destacan el pato correntino, el carpintero negro, el picaflor chico, la tagua común, el águila y el martín pescador.</li><li>La mayor parte de los bosques del parque corresponden al tipo siempreverde, donde se desarrolla una amplia gama de ambientes. En lugares planos y de mal drenajes como laguna Cayutúe, predomina el bosque húmedo de galería compuesto principalmente por canelo, coigüe, patagua y pitra.</li><li>Recorreremos lugares paradisíacos en donde veremos lagos, volcanes,  saltos de agua y bosques nativos.</li><li>Tendremos la posibilidad de disfrutar del canto de un ave endémica como el Chucao.</li></ul>|	<ul><li><b>Puerto Montt o Puerto Varas:&nbsp;</b>Recogida en lugar de alojamiento o punto a convenir.</li><li><b>Dias de operación: de Lunes a Domingo</b></li></ul>|	saltos-de-petrohue|	40000|	40000|	2019-06-01|	2022-12-31|	2019-03-31 20:54:32|	2022-02-21 12:53:18|	1|	0|	published|	NULL|	NULL|	NULL|	0|	25|	0|	0|	1|	40000|	40000|	24|	2|	2019-10-23|	Petrohue Falls|	auto|	40000|	NULL|	Español|	11:00|	100p-7days|	0|	1|	1|	Angelmo Tours|	NULL|
16|	21|	Saltos de Petrohue|	<ul><li>Los Saltos del Río Petrohué son caidas de agua ubicadas a una corta distancia río abajo del lago Todos Los Santos.Se encuentran dentro del Parque nacional Vicente Pérez Rosales cercano a la ruta hacia Petrohué, una localidad al borde de aquel lago.&nbsp;</li><li>Entre las aves se destacan el pato correntino, el carpintero negro, el picaflor chico, la tagua común, el águila y el martín pescador.</li><li>La mayor parte de los bosques del parque corresponden al tipo siempreverde, donde se desarrolla una amplia gama de ambientes. En lugares planos y de mal drenajes como laguna Cayutúe, predomina el bosque húmedo de galería compuesto principalmente por canelo, coigüe, patagua y pitra.</li><li>Recorreremos lugares paradisíacos en donde veremos lagos, volcanes,  saltos de agua y bosques nativos.</li><li>Tendremos la posibilidad de disfrutar del canto de un ave endémica como el Chucao.</li></ul>|	<ul><li><b>Puerto Montt o Puerto Varas:&nbsp;</b>Recogida en lugar de alojamiento o punto a convenir.</li><li><b>Dias de operación: de Lunes a Domingo</b></li></ul>|	saltos-de-petrohue|	40000|	40000|	2019-06-01|	2022-12-31|	2019-03-31 20:54:32|	2022-02-21 12:53:18|	1|	0|	published|	NULL|	NULL|	NULL|	0|	25|	0|	0|	1|	40000|	40000|	24|	2|	2019-10-23|	Petrohue Falls|	auto|	40000|	NULL|	Español|	11:00|	100p-7days|	0|	1|	1|	Angelmo Tours|	NULL|
16|	21|	Saltos de Petrohue|	<ul><li>Los Saltos del Río Petrohué son caidas de agua ubicadas a una corta distancia río abajo del lago Todos Los Santos.Se encuentran dentro del Parque nacional Vicente Pérez Rosales cercano a la ruta hacia Petrohué, una localidad al borde de aquel lago.&nbsp;</li><li>Entre las aves se destacan el pato correntino, el carpintero negro, el picaflor chico, la tagua común, el águila y el martín pescador.</li><li>La mayor parte de los bosques del parque corresponden al tipo siempreverde, donde se desarrolla una amplia gama de ambientes. En lugares planos y de mal drenajes como laguna Cayutúe, predomina el bosque húmedo de galería compuesto principalmente por canelo, coigüe, patagua y pitra.</li><li>Recorreremos lugares paradisíacos en donde veremos lagos, volcanes,  saltos de agua y bosques nativos.</li><li>Tendremos la posibilidad de disfrutar del canto de un ave endémica como el Chucao.</li></ul>|	<ul><li><b>Puerto Montt o Puerto Varas:&nbsp;</b>Recogida en lugar de alojamiento o punto a convenir.</li><li><b>Dias de operación: de Lunes a Domingo</b></li></ul>|	saltos-de-petrohue|	40000|	40000|	2019-06-01|	2022-12-31|	2019-03-31 20:54:32|	2022-02-21 12:53:18|	1|	0|	published|	NULL|	NULL|	NULL|	0|	25|	0|	0|	1|	40000|	40000|	24|	2|	2019-10-23|	Petrohue Falls|	auto|	40000|	NULL|	Español|	11:00|	100p-7days|	0|	1|	1|	Angelmo Tours|	NULL|
16|	21|	Saltos de Petrohue|	<ul><li>Los Saltos del Río Petrohué son caidas de agua ubicadas a una corta distancia río abajo del lago Todos Los Santos.Se encuentran dentro del Parque nacional Vicente Pérez Rosales cercano a la ruta hacia Petrohué, una localidad al borde de aquel lago.&nbsp;</li><li>Entre las aves se destacan el pato correntino, el carpintero negro, el picaflor chico, la tagua común, el águila y el martín pescador.</li><li>La mayor parte de los bosques del parque corresponden al tipo siempreverde, donde se desarrolla una amplia gama de ambientes. En lugares planos y de mal drenajes como laguna Cayutúe, predomina el bosque húmedo de galería compuesto principalmente por canelo, coigüe, patagua y pitra.</li><li>Recorreremos lugares paradisíacos en donde veremos lagos, volcanes,  saltos de agua y bosques nativos.</li><li>Tendremos la posibilidad de disfrutar del canto de un ave endémica como el Chucao.</li></ul>|	<ul><li><b>Puerto Montt o Puerto Varas:&nbsp;</b>Recogida en lugar de alojamiento o punto a convenir.</li><li><b>Dias de operación: de Lunes a Domingo</b></li></ul>|	saltos-de-petrohue|	40000|	40000|	2019-06-01|	2022-12-31|	2019-03-31 20:54:32|	2022-02-21 12:53:18|	1|	0|	published|	NULL|	NULL|	NULL|	0|	25|	0|	0|	1|	40000|	40000|	24|	2|	2019-10-23|	Petrohue Falls|	auto|	40000|	NULL|	Español|	11:00|	100p-7days|	0|	1|	1|	Angelmo Tours|	NULL|
